"ASVNumber","tax.Domain","tax.Supergroup","tax.Division","tax.Subdivision","tax.Class","tax.Order","tax.Family","tax.Genus","tax.Species","boot.Domain","boot.Supergroup","boot.Division","boot.Subdivision","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV_00371","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Choreotrichida","Choreotrichida_X","Choreotrichida_XX","Choreotrichida_XX_sp.",100,100,100,100,100,93,91,91,91
"ASV_00372","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas_clade_B4",100,100,100,100,100,100,100,100,100
"ASV_00373","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-16","Dino-Group-II-Clade-16_X","Dino-Group-II-Clade-16_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00374","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,99,24,22,22,22,22,22,22,22
"ASV_00375","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-5","Dino-Group-I-Clade-5_X","Dino-Group-I-Clade-5_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00376","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-6","Dino-Group-II-Clade-6_X","Dino-Group-II-Clade-6_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00377","Eukaryota","TSAR","Alveolata","Dinoflagellata",NA,NA,NA,NA,NA,99,91,81,78,43,43,15,15,15
"ASV_00378","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Suessiales","Suessiaceae","Biecheleria","Biecheleria_cincta",100,100,100,100,100,100,100,99,91
"ASV_00379","Eukaryota","TSAR","Alveolata","Ciliophora","Phyllopharyngea","Suctoria","Suctoria_X","Suctoria_XX","Suctoria_XX_sp.",100,100,100,100,100,100,100,100,100
"ASV_00380","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-47","Dino-Group-II-Clade-47_X","Dino-Group-II-Clade-47_X_sp.",100,100,100,100,100,100,67,67,67
"ASV_00381","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II_X","Dino-Group-II_XX","Dino-Group-II_XX_sp.",100,100,100,100,99,99,74,74,74
"ASV_00382","Eukaryota","TSAR","Stramenopiles","Bigyra","Opalozoa","Nanomonadea","MAST-3","MAST-3E","MAST-3E_sp.",100,100,100,100,100,100,100,100,100
"ASV_00383","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae",NA,NA,NA,NA,100,100,100,100,100,39,32,31,14
"ASV_00384","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium_dominans",100,100,100,100,100,100,100,100,79
"ASV_00385","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Chytriodiniaceae","Syltodinium","Syltodinium_listii",100,100,100,100,100,100,69,69,69
"ASV_00386","Eukaryota","Obazoa","Opisthokonta","Choanoflagellata","Choanoflagellatea","Acanthoecida","Stephanoecidae","Bicosta","Bicosta_minor",100,100,100,100,100,100,60,60,60
"ASV_00387","Eukaryota","TSAR","Stramenopiles","Bigyra","Sagenista","Sagenista_X","MAST-7","MAST-7A","MAST-7A_sp.",100,100,100,100,100,100,100,100,100
"ASV_00388","Eukaryota","TSAR","Stramenopiles","Gyrista","Peronosporomycetes","Peronosporomycetes_X","Peronosporomycetes_XX",NA,NA,100,100,100,100,100,100,53,49,49
"ASV_00389","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-6","Dino-Group-II-Clade-6_X","Dino-Group-II-Clade-6_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00390","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-1","Dino-Group-II-Clade-1_X","Dino-Group-II-Clade-1_X_sp.",100,99,99,99,99,99,94,94,94
"ASV_00391","Eukaryota","TSAR","Rhizaria","Radiolaria","RAD-B","RAD-B_X","RAD-B_X_Group-IVe","RAD-B_X_Group-IVe_X","RAD-B_X_Group-IVe_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00392","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales",NA,NA,NA,100,100,100,100,100,52,35,35,35
"ASV_00393","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Oligotrichida","Strombidiidae",NA,NA,100,100,100,100,100,97,93,41,41
"ASV_00394","Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda","Clausocalanus","Clausocalanus_furcatus",100,100,100,100,100,100,100,100,100
"ASV_00395","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-III","Dino-Group-III_X","Dino-Group-III_XX","Dino-Group-III_XX_sp.",100,100,100,100,100,100,100,100,100
"ASV_00396","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-10-and-11","Dino-Group-II-Clade-10-and-11_X","Dino-Group-II-Clade-10-and-11_X_sp.",99,95,94,93,92,92,92,92,92
"ASV_00397","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Prorocentrales","Prorocentraceae","Prorocentrum","Prorocentrum_sp.",100,100,100,100,100,97,97,97,97
"ASV_00398","Eukaryota","Obazoa","Opisthokonta","Metazoa","Cnidaria","Cnidaria_X","Hydrozoa","Cordagalma","Cordagalma_cordiforme",100,100,100,100,100,100,100,98,98
"ASV_00399","Eukaryota","Cryptista","Cryptophyta","Cryptophyta_X","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Teleaulax","Teleaulax_amphioxeia",76,76,76,76,76,76,76,76,76
"ASV_00400","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Prorocentrales","Prorocentraceae","Prorocentrum","Prorocentrum_sp.",100,100,100,100,100,86,86,86,86
"ASV_00401","Eukaryota","Archaeplastida","Picozoa","Picozoa_subdivision_1","Picomonadea","Picomonadida","Picomonadidae","Picomonas","Picomonas_sp.",100,100,100,100,100,65,65,65,65
"ASV_00402","Eukaryota","TSAR","Stramenopiles","Gyrista","Bolidophyceae","Parmales","Triparmaceae","Triparma","Triparma_pacifica",100,100,100,100,100,100,100,100,100
"ASV_00403","Eukaryota","TSAR","Stramenopiles","Bigyra","Sagenista","Sagenista_X","MAST-7","MAST-7D","MAST-7D_sp.",100,100,100,100,100,100,100,100,100
"ASV_00404","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Suessiales","Suessiaceae","Pelagodinium","Pelagodinium_beii",100,100,100,100,100,100,100,97,97
"ASV_00405","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Oligotrichida","Strombidiidae","Strombidiidae_X","Strombidiidae_X_sp.",100,100,100,100,100,100,95,94,94
"ASV_00406","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-7","Dino-Group-II-Clade-7_X","Dino-Group-II-Clade-7_X_sp.",100,98,98,98,98,98,80,80,80
"ASV_00407","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Choreotrichida","Choreotrichida_X","Choreotrichida_XX","Choreotrichida_XX_sp.",100,100,100,100,100,100,100,100,100
"ASV_00408","Eukaryota","TSAR","Stramenopiles","Bigyra","Sagenista","Sagenista_X","MAST-7","MAST-7C","MAST-7C_sp.",100,100,100,100,100,100,100,98,98
"ASV_00409","Eukaryota","TSAR","Stramenopiles","Bigyra","Sagenista","Labyrinthulomycetes","Labyrinthulaceae","Aplanochytrium","Aplanochytrium_sp.",100,100,100,100,100,100,100,100,100
"ASV_00410","Eukaryota","TSAR","Stramenopiles","Bigyra","Sagenista","Labyrinthulomycetes","Labyrinthulomycetes_LAB7","Labyrinthulomycetes_LAB7_X","Labyrinthulomycetes_LAB7_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00411","Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda","Clausocalanus","Clausocalanus_furcatus",100,100,100,100,100,100,100,100,100
"ASV_00412","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-5","Dino-Group-I-Clade-5_X","Dino-Group-I-Clade-5_X_sp.",100,100,100,100,100,100,100,100,100
"ASV_00413","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Oligotrichida","Tontoniidae","Pseudotontonia","Pseudotontonia_sp.",100,100,100,100,100,100,100,99,99
